"name","alias","city","state","url","control","deg_predomnt","deg_highest","locale_type","is_hbcu","is_pbi","is_annhi","is_tribal","is_aanapii","is_hsi","is_nanti","is_only_men","is_only_women","religious_affil","adm_rate","sat_avg","sat_mid50","act_p25","act_p75","act_mid50","sat_p25","sat_p75","ug_enrollment","net_price","cost_avg_income_0_30k","cost_avg_income_30_48k","cost_avg_income_48_75k","cost_avg_income_75_110k","cost_avg_income_110k_plus","earnings_med_10y","rate_completion","rm_board_dif","ratio","student_fac_ratio","no_aid","ROOMBOARD_ON","ROOMBOARD_OFF","MD_EARN_WNE_INC2_P6","TUITIONFEE_IN","TUITIONFEE_OUT"
"Rockford University","Rockford University","Rockford","IL","www.rockford.edu/",2,3,4,12,0,0,0,0,0,0,0,0,0,NA,0.5723,984,1000,17,23,21,850,1080,956,31650223,21950,20840,21448,24280,26869,54794,0.0537,3190,0.916118627738449,10,1,10940,7750,46806,37300,37300
"Roosevelt University",NA,"Chicago","IL","www.roosevelt.edu/",2,3,4,11,0,0,0,0,0,1,0,0,0,NA,0.9427,1000,980,21,29,24,820,1090,2583,31650223,15863,16288,19274,23967,30033,48712,0.3716,4757,0.887938033484739,11,1,15525,10768,45129,20280,20280
"Dominican University","Dominican","River Forest","IL","https://www.dom.edu/",2,3,4,21,0,0,0,0,0,1,0,0,0,30,0.798,1022,1040,17,22,25,930,1140,2271,31650223,10934,13149,15342,20088,21367,60327,0.4898,-2,0.86005028353306,12,1,12552,12554,45788,37844,37844
"Rush University","Rush University Medical Center","Chicago","IL","www.rushu.rush.edu/",2,3,4,11,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,31650223,NA,NA,NA,NA,NA,75194,NA,NA,NA,5,1,NA,NA,NA,NA,NA
"Saint Francis Medical Center College of Nursing","St. Francis Medical Center College of Nursing SFMCCoN","Peoria","IL","www.sfmccon.edu/",2,3,4,12,0,0,0,0,0,0,0,0,0,30,NA,NA,NA,NA,NA,NA,NA,NA,267,31650223,NA,NA,NA,NA,NA,72850,NA,NA,0.976760921097189,8,1,NA,NA,69583,NA,NA
"University of St Francis",NA,"Joliet","IL","https://www.stfrancis.edu/",2,3,4,21,0,0,0,0,0,1,0,0,0,30,0.6393,1055,1040,20,25,23,900,1170,1292,31650223,9707,13378,15264,19548,20057,63926,0.4716,4780,0.85042965872821,13,1,11980,7200,58067,37000,37000
"St. John's College-Department of Nursing","St Johns School of Nursing  St John's College of Nursing","Springfield","IL","https://www.hshs.org/stjohnscollege/",2,3,3,12,0,0,0,0,0,0,0,0,0,30,NA,NA,NA,NA,NA,NA,NA,NA,76,31650223,NA,NA,NA,NA,NA,86331,NA,NA,1.2414109474581,8,1,NA,NA,63165,NA,NA
"Saint Xavier University","St. Xavier University   St Xavier University","Chicago","IL","https://www.sxu.edu/",2,3,4,11,0,0,0,0,0,1,0,0,0,30,0.8575,NA,NA,NA,NA,NA,NA,NA,3030,31650223,9181,8699,11794,16705,18294,58656,0.4767,3808,0.760365731127336,15,1,12480,8672,50336,36840,36840
"University of Illinois Springfield","UIS","Springfield","IL","www.uis.edu/",1,3,4,12,0,0,0,0,0,0,0,0,0,NA,0.8437,1118,1120,21,28,24,1010,1210,2292,31650223,NA,NA,NA,NA,NA,57103,0.4344,NA,0.893507571043352,14,1,12088,NA,49873,12252,22017
"Southern Illinois University-Carbondale",NA,"Carbondale","IL","https://siu.edu/",1,3,4,32,0,0,0,0,0,0,0,0,0,NA,0.9044,1060,1050,20,27,24,910,1140,8116,31650223,NA,NA,NA,NA,NA,53390,0.3986,-554,0.751766714308401,11,1,12114,12668,43746,13244,13244
"Southern Illinois University-Edwardsville","SIUE","Edwardsville","IL","www.siue.edu/",1,3,4,21,0,0,0,0,0,0,0,0,0,NA,0.9721,1063,1040,20,26,23,900,1160,8836,31650223,NA,NA,NA,NA,NA,56346,0.3273,0,0.77883731617647,15,1,10562,10562,44967,12922,12922
"Trinity Christian College",NA,"Palos Heights","IL","www.trnty.edu/",2,3,4,21,0,0,0,0,0,0,0,0,0,42,0.8865,1154,1090,23,28,24,1050,1200,796,31650223,12034,9624,11213,18986,23771,55700,0.5131,5400,0.841911270660959,10,1,11200,5800,47840,20325,20325
"Trinity International University-Illinois",NA,"Deerfield","IL","https://www.tiu.edu/",2,3,4,21,0,0,0,0,0,0,0,0,0,38,0.9318,NA,1060,NA,NA,18,NA,NA,140,31650223,17250,16898,22119,21398,25030,46989,0.3623,-6160,0.848521952072765,9,1,6090,12250,40129,12320,12320
"VanderCook College of Music","VCM","Chicago","IL","https://www.vandercook.edu/",2,3,4,11,0,0,0,0,0,1,0,0,0,NA,0.973,NA,NA,NA,NA,NA,NA,NA,70,31650223,18642,14418,11378,15875,29850,47863,0.4667,NA,NA,4,1,NA,7500,NA,30910,30910
"Western Illinois University",NA,"Macomb","IL","www.wiu.edu/",1,3,4,33,0,0,0,0,0,0,0,0,0,NA,0.7496,NA,NA,NA,NA,NA,NA,NA,4939,31650223,NA,NA,NA,NA,NA,54163,0.3111,0,0.762694740245307,14,1,10920,10920,43440,14952,14952
"Wheaton College",NA,"Wheaton","IL","www.wheaton.edu/",2,3,4,21,0,0,0,0,0,0,0,0,0,88,0.8998,1363,1340,27,32,30,1260,1440,2087,31650223,17966,18623,20430,24968,35320,63756,0.8224,-1972,1.00304735114862,10,1,12390,14362,48429,43930,43930
"Anderson University",NA,"Anderson","IN","https://anderson.edu/",2,3,4,13,0,0,0,0,0,0,0,0,0,57,0.5342,1054,1060,16,23,22,940,1170,1070,31650223,19260,19931,20975,23204,25576,48899,0.4249,3950,0.745679225717249,10,1,12250,8300,46027,35640,35640
"Ball State University","BSU|Ball U","Muncie","IN","https://www.bsu.edu/",1,3,4,13,0,0,0,0,0,0,0,0,0,NA,0.716,1172,1110,25,30,24,1080,1250,13770,31650223,NA,NA,NA,NA,NA,51833,0.5098,0,0.847699629825489,15,1,12064,12064,43050,10758,28766
"Bethel University",NA,"Mishawaka","IN","https://betheluniversity.edu/",2,3,4,13,0,0,0,0,0,0,0,0,0,87,0.9868,1073,NA,19,24,NA,940,1190,1069,31650223,14050,14913,19984,25516,23916,48860,0.5134,1630,0.819166666666667,12,1,10560,8930,45309,33320,33320
"Butler University",NA,"Indianapolis","IN","www.butler.edu/",2,3,4,11,0,0,0,0,0,0,0,0,0,NA,0.8587,1282,1240,26,31,28,1180,1360,4383,31650223,28607,31406,36016,39491,42961,77235,0.7188,0,0.914700010832727,11,1,15870,15870,56592,45980,45980
"Calumet College of Saint Joseph","CCSJ, CAL COLLEGE, CALUMET COLLEGE;  Calumet College of St. Joseph   Calumet College of St Joseph","Whiting","IN","www.ccsj.edu/",2,3,4,21,0,0,0,0,0,1,0,0,0,30,NA,NA,NA,NA,NA,NA,NA,NA,560,31650223,19752,19938,22838,23258,21254,46945,0.2128,4400,0.608062290557855,13,1,10000,5600,48071,22650,22650
"DePauw University","DePauw","Greencastle","IN","www.depauw.edu/",2,3,3,32,0,0,0,0,0,0,0,0,0,NA,0.5406,1287,1290,26,31,28,1140,1430,1804,31650223,12267,16184,17459,24646,33816,70527,0.7311,4850,0.968809321201807,10,1,14850,10000,56220,57070,57070
"Earlham College","Earlham","Richmond","IN","https://earlham.edu/",2,3,4,32,0,0,0,0,0,0,0,0,0,65,0.7422,1250,1220,23,30,28,1180,1360,612,31650223,18306,20515,22527,25618,29101,50797,0.6098,5053,0.908616520300369,7,1,13193,8140,31985,51840,51840
"University of Evansville","UE | Aces | Evansville | Purple Aces","Evansville","IN","https://www.evansville.edu/",2,3,4,12,0,0,0,0,0,0,0,0,0,71,0.7765,NA,1160,NA,NA,26,NA,NA,1477,31650223,14270,17162,20027,20240,26264,53770,0.5955,832,0.746538671075125,10,1,14270,13438,44231,42676,42676
"Franklin College","Franklin College of Indiana","Franklin","IN","www.franklincollege.edu/",2,3,4,21,0,0,0,0,0,0,0,0,0,52,0.7058,1119,1080,21,27,23,1020,1200,872,31650223,19031,18645,18436,25471,28694,55376,0.6075,786,0.854508629056078,12,1,11290,10504,45189,37350,37350
"Goshen College",NA,"Goshen","IN","www.goshen.edu/",2,3,4,13,0,0,0,0,0,1,0,0,0,69,0.8894,1049,1120,23,27,27,850,1130,761,31650223,11059,13394,15681,17823,19195,51943,0.4837,1740,0.858366197183099,9,1,11320,9580,43488,37760,37760
"Grace College and Theological Seminary",NA,"Winona Lake","IN","www.grace.edu/",2,3,4,32,0,0,0,0,0,0,0,0,0,28,0.8078,1088,1100,20,27,23,950,1200,1511,31650223,6409,10952,15080,22537,26101,45411,0.6782,1712,0.789491426388296,23,1,10712,9000,43673,30034,30034
"Hanover College",NA,"Hanover","IN","www.hanover.edu/",2,3,4,32,0,0,0,0,0,0,0,0,0,66,0.8397,1197,1220,22,30,28,1070,1240,958,31650223,16238,16137,19624,23666,26545,53957,0.5918,0,0.853475292115476,11,1,13558,13558,37686,42894,42894
"Holy Cross College",NA,"Notre Dame","IN","www.hcc-nd.edu/",2,3,3,21,0,0,0,0,0,0,0,0,0,30,0.7371,1229,1220,23,31,31,980,1300,533,31650223,13969,15859,18845,24241,33940,50416,0.2368,-1770,0.837083649777585,12,1,12300,14070,40810,35500,35500
"Huntington University",NA,"Huntington","IN","www.huntington.edu/",2,3,4,32,0,0,0,0,0,0,0,0,0,84,0.7115,1124,1100,21,25,22,1000,1190,1016,31650223,10313,10338,10726,14351,19550,46672,0.6129,1534,0.87573218828032,10,1,9880,8346,39872,29982,29982
"Purdue University Fort Wayne","IPFW|IUPUFW|Purdue University-Fort Wayne|Purdue-Fort Wayne|Purdue Fort Wayne","Fort Wayne","IN","www.pfw.edu/",1,3,4,11,0,0,0,0,0,0,0,0,0,NA,0.8566,1078,1110,19,26,23,960,1190,5450,31650223,NA,NA,NA,NA,NA,45872,0.215,0,0.860450454367581,13,1,10332,10332,43193,9254,22220
"Indiana University-Indianapolis","IU Indianapolis","Indianapolis","IN","https://indianapolis.iu.edu/",1,3,4,11,0,0,0,0,0,0,0,0,0,NA,0.8139,1146,1130,21,28,25,1040,1230,16582,31650223,NA,NA,NA,NA,NA,55198,0.3868,0,0.870453963060062,14,1,13010,13010,47075,10449,33717
"University of Indianapolis","UIndy","Indianapolis","IN","https://uindy.edu/",2,3,4,11,0,0,0,0,0,0,0,0,0,71,0.7276,NA,NA,NA,NA,NA,NA,NA,3147,31650223,14352,13702,17093,23380,26125,53610,0.45,4488,0.804222839016653,12,1,15878,11390,47938,36136,36136
"Indiana Institute of Technology","Indiana Tech, IIT","Fort Wayne","IN","www.indianatech.edu/",2,3,4,11,0,0,0,0,0,0,0,0,0,NA,0.5689,NA,NA,NA,NA,NA,NA,NA,1361,31650223,17346,17260,19579,24780,24341,47327,0.2132,1083,0.3982428581866,16,1,12579,11496,51280,30446,30446
"University of Southern Indiana","USI","Evansville","IN","www.usi.edu/",1,3,4,22,0,0,0,0,0,0,0,0,0,NA,0.9465,1131,1120,22,28,24,1020,1220,5344,31650223,NA,NA,NA,NA,NA,47605,0.3784,-1178,0.865015369537132,14,1,10798,11976,42664,10136,22573
"Indiana State University","Indiana State ISU","Terre Haute","IN","https://www.indstate.edu/",1,3,4,13,0,0,0,0,0,0,0,0,0,NA,0.915,NA,NA,NA,NA,NA,NA,NA,6620,31650223,NA,NA,NA,NA,NA,48387,0.3021,0,0.745295656056643,17,1,11483,11483,42764,9992,21734
"Indiana University-Kokomo","IU Kokomo | IUK | IU KO","Kokomo","IN","www.iuk.edu/",1,3,4,13,0,0,0,0,0,0,0,0,0,NA,0.8469,1063,1090,18,26,23,970,1180,2308,31650223,NA,NA,NA,NA,NA,49917,0.3124,NA,0.827227851389971,14,1,NA,10244,44768,8179,22043
"Indiana University-South Bend","IUSB | IU SB | IU South Bend","South Bend","IN","https://iusb.edu/",1,3,4,12,0,0,0,0,0,0,0,0,0,NA,0.8599,1072,1090,21,25,21,970,1170,3807,31650223,NA,NA,NA,NA,NA,44947,0.2014,972,0.887284956076135,14,1,11216,10244,42839,8179,22043
"Indiana University-Bloomington","IUB | IU Bloomington","Bloomington","IN","www.indiana.edu/",1,3,4,13,0,0,0,0,0,1,0,0,0,NA,0.8037,1308,1270,27,32,29,1170,1400,36571,31650223,NA,NA,NA,NA,NA,63742,0.715,0,0.799855254768838,18,1,13380,13380,49995,11790,40482
"Indiana University-Northwest","IUN | IU Northwest","Gary","IN","www.iun.edu/",1,3,4,21,0,0,0,0,0,1,0,0,0,NA,0.767,1067,1040,21,27,22,940,1170,2582,31650223,NA,NA,NA,NA,NA,43361,0.2228,NA,0.823096043173523,14,1,NA,10244,38557,8179,22043
"Indiana University-Southeast","IUSE | IU SE | IU Southeast","New Albany","IN","https://ius.edu/",1,3,4,21,0,0,0,0,0,0,0,0,0,NA,0.8312,1097,1080,20,26,23,1010,1190,3088,31650223,NA,NA,NA,NA,NA,47596,0.2602,1410,0.858849557522124,13,1,11654,10244,44572,8179,22043
"Indiana University-East","IUE | IU East","Richmond","IN","www.iue.edu/",1,3,4,32,0,0,0,0,0,0,0,0,0,NA,0.7124,1135,1110,20,25,22,1010,1220,2446,31650223,NA,NA,NA,NA,NA,47156,0.3342,NA,0.793146208959924,14,1,NA,10244,47567,8179,22043
"Manchester University",NA,"North Manchester","IN","https://www.manchester.edu/",2,3,4,32,0,0,0,0,0,0,0,0,0,58,0.913,NA,NA,NA,NA,NA,NA,NA,895,31650223,12895,13031,16949,21089,25938,51504,0.3703,4094,0.825373323744659,13,1,11154,7060,40732,37090,37090
"Marian University","Marian","Indianapolis","IN","www.marian.edu/",2,3,4,11,0,0,0,0,0,0,0,0,0,30,0.9534,NA,NA,NA,NA,NA,NA,NA,2336,31650223,24435,20235,22711,25398,24074,58759,0.4349,4074,0.90971447598435,13,1,13200,9126,53032,39100,39100
"Indiana Wesleyan University-Marion","IWU","Marion","IN","https://www.indwes.edu/",2,3,4,32,0,0,0,0,0,0,0,0,0,89,0.8221,1074,1100,19,28,23,970,1180,1927,31650223,18803,18267,18962,23495,27229,59986,0.5791,3522,0.581580535480357,12,1,10554,7032,59187,31168,31168
"Martin University",NA,"Indianapolis","IN","www.martin.edu/",2,3,4,11,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,164,31650223,10379,15628,NA,NA,NA,22544,0.2667,NA,NA,11,1,NA,8140,NA,12830,12830
"University of Notre Dame","Notre Dame | Fighting Irish | ND","Notre Dame","IN","www.nd.edu/",2,3,4,21,0,0,0,0,0,0,0,0,0,30,0.1238,1510,1480,33,35,34,1440,1540,8923,31650223,8873,6216,14841,20449,46879,99980,0.9273,0,0.85820010168917,9,1,17378,17378,80334,62693,62693
"Oakland City University",NA,"Oakland City","IN","www.oak.edu/",2,3,4,42,0,0,0,0,0,0,0,0,0,105,0.6821,NA,1080,NA,NA,19,NA,NA,470,31650223,9787,9218,10898,22171,16881,43283,0.551,2358,0.800823436918111,12,1,10610,8252,43982,27150,27150
"Rose-Hulman Institute of Technology","R-HIT|RHIT|Rose Polytechnic|Rose Polytechnic Institute|RP|RPI|Rose-Hulman|Rose Hulman|Rose-Hulman Institute|Rose Hulman Institute|Rose","Terre Haute","IN","https://www.rose-hulman.edu/",2,3,4,13,0,0,0,0,0,0,0,0,0,NA,0.7281,1389,1370,29,34,31,1280,1470,2224,31650223,33862,32345,34656,37396,45616,101253,0.6786,0,0.883297842792334,11,1,17718,17718,86845,56674,56674
"University of Saint Francis-Fort Wayne","University of Saint Francis of Fort Wayne, Indiana  University of Saint Francis  Saint Francis College  University of St. Francis-Fort Wayne   University of St Francis-Fort Wayne  USF","Fort Wayne","IN","https://www.sf.edu/",2,3,4,11,0,0,0,0,0,0,0,0,0,30,0.9756,1040,1050,17,25,22,920,1130,1599,31650223,19135,16075,18814,22032,24003,55362,0.4964,710,0.821084314397836,11,1,11540,10830,47085,35420,35420
"Saint Mary-of-the-Woods College","St. Mary-of-the-Woods College   St Mary-of-the-Woods College","Saint Mary of the Woods","IN","www.smwc.edu/",2,3,4,41,0,0,0,0,0,0,0,0,0,30,0.7614,966,1050,15,18,20,880,1070,896,31650223,40812,41307,44117,46408,46639,43845,0.4809,5698,0.71403697544752,9,1,13010,7312,44862,33490,33490
"Saint Mary's College","St. Mary's College   St Mary's College","Notre Dame","IN","https://www.saintmarys.edu/",2,3,4,21,0,0,0,0,0,0,0,0,1,30,0.8111,1233,1160,25,30,26,1100,1310,1399,31650223,17918,26610,21529,30396,33026,59354,0.7072,2550,0.834803298924808,8,1,13850,11300,51279,51430,51430
"Taylor University",NA,"Upland","IN","https://www.taylor.edu/",2,3,4,42,0,0,0,0,0,0,0,0,0,42,0.7611,1232,NA,23,30,NA,1070,1340,1890,31650223,12612,16511,21003,25647,28408,52198,0.6897,1646,0.911309598691659,14,1,10888,9242,42686,39104,39104
"Trine University",NA,"Angola","IN","www.trine.edu/",2,3,4,32,0,0,0,0,0,0,0,0,0,NA,0.8469,NA,1140,NA,NA,25,NA,NA,2344,31650223,18615,16845,21043,25080,29763,57165,0.5648,4050,0.730084612455086,18,1,12250,8200,52741,35600,35600
"Valparaiso University","Valpo|VU","Valparaiso","IN","https://www.valpo.edu/",2,3,4,23,0,0,0,0,0,0,0,0,0,67,0.9222,1226,NA,25,30,NA,1080,1310,2229,31650223,14476,15334,20556,23539,26871,63191,0.5812,1506,0.734329858058033,11,1,13306,11800,50385,46588,46588
"Wabash College",NA,"Crawfordsville","IN","www.wabash.edu/",2,3,3,32,0,0,0,0,0,0,0,1,0,NA,0.6278,1210,1240,24,29,26,1100,1300,845,31650223,15586,15820,14117,19613,29968,69952,0.7056,6100,0.774008459298294,9,1,13300,7200,51565,49125,49125
"Allen College",NA,"Waterloo","IA","www.allencollege.edu/",2,3,4,13,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,279,31650223,NA,NA,NA,NA,NA,71261,NA,NA,0.934437144886364,8,1,NA,8800,64295,20444,20444
"Briar Cliff University",NA,"Sioux City","IA","www.briarcliff.edu/",2,3,4,13,0,0,0,0,0,0,0,0,0,30,NA,NA,NA,NA,NA,NA,NA,NA,626,31650223,19435,17357,23260,23338,25265,54475,0.3544,314,0.889878144654088,12,1,10208,9894,46668,35534,35534
"Buena Vista University",NA,"Storm Lake","IA","https://www.bvu.edu/",2,3,4,33,0,0,0,0,0,0,0,0,0,66,0.7176,1090,1050,18,25,22,NA,NA,1378,31650223,14583,15328,16286,19059,22791,49156,0.3498,1983,0.897867201483686,13,1,10896,8913,44931,40190,40190
"Central College",NA,"Pella","IA","www.central.edu/",2,3,3,32,0,0,0,0,0,0,0,0,0,49,0.7897,1115,1120,19,25,22,930,1200,1062,31650223,14745,16426,19418,22308,25764,54317,0.5888,0,0.918426176931007,12,1,12220,12220,43171,20988,20988
"Clarke University",NA,"Dubuque","IA","www.clarke.edu/",2,3,4,13,0,0,0,0,0,0,0,0,0,30,0.6816,1060,1000,18,26,21,890,1040,782,31650223,23570,23640,22569,26435,10870,55396,0.4383,0,0.805045701122093,10,1,11000,11000,51209,39600,39600
"Coe College",NA,"Cedar Rapids","IA","www.coe.edu/",2,3,3,12,0,0,0,0,0,0,0,0,0,66,0.7067,1206,NA,22,28,NA,1080,1280,1246,31650223,12657,13250,16889,20555,27413,57125,0.5025,336,0.825498970378584,11,1,11336,11000,46037,52576,52576
"Cornell College",NA,"Mount Vernon","IA","www.cornellcollege.edu/",2,3,4,31,0,0,0,0,0,0,0,0,0,71,0.8066,1246,1280,23,30,27,1150,1320,1074,31650223,18285,17873,22174,26134,30897,53460,0.67,0,0.730307653769954,12,1,11358,11358,38178,50634,50634
"Divine Word College",NA,"Epworth","IA","www.dwci.edu/",2,3,3,42,0,0,0,0,0,0,0,0,0,30,NA,NA,NA,NA,NA,NA,NA,NA,61,31650223,NA,NA,NA,NA,NA,NA,1,0,NA,5,1,4200,4200,NA,15000,15000
"Dordt University","Dort","Sioux Center","IA","https://www.dordt.edu/",2,3,4,33,0,0,0,0,0,0,0,0,0,35,0.7116,1175,1170,21,27,25,1030,1230,1547,31650223,20966,20971,23110,26192,31607,52559,0.6287,-70,0.94185290456817,14,1,11430,11500,48388,35960,35960
"Drake University","Drake","Des Moines","IA","www.drake.edu/",2,3,4,12,0,0,0,0,0,0,0,0,0,NA,0.6413,1288,1300,24,30,28,1190,1390,2669,31650223,27372,25335,26358,32215,32993,71901,0.6753,2498,0.884337152209493,10,1,11858,9360,54772,49944,49944
"University of Dubuque",NA,"Dubuque","IA","www.dbq.edu/",2,3,4,13,0,0,0,0,0,0,0,0,0,66,0.8692,1119,NA,19,25,NA,950,1160,1473,31650223,16617,19871,20992,22386,26752,51190,0.3171,0,0.882268787343264,11,1,11470,11470,50057,40065,40065
"Faith Baptist Bible College and Theological Seminary","FBBC&TS, FBBC","Ankeny","IA","https://faith.edu/",2,3,4,21,0,0,0,0,0,0,0,0,0,54,0.4968,1088,1100,18,25,24,940,1180,371,31650223,15556,15882,17038,20565,23509,40650,0.36,0,NA,15,1,7950,7950,NA,19530,19530
"Graceland University-Lamoni",NA,"Lamoni","IA","www.graceland.edu/",2,3,4,43,0,0,0,0,0,0,0,0,0,99,0.8322,NA,1000,NA,NA,20,NA,NA,901,31650223,14414,15979,14173,17970,19613,47361,0.3004,0,0.757034408779602,14,1,10540,10540,40692,33220,33220
"Grand View University","GVC","Des Moines","IA","www.grandview.edu/",2,3,4,12,0,0,0,0,0,0,0,0,0,39,0.9838,NA,1000,NA,NA,20,NA,NA,1472,31650223,19216,20268,19778,19911,25025,52824,0.4634,90,0.861281826163301,12,1,12880,12790,51166,33450,33450
"Grinnell College","Grinnell","Grinnell","IA","www.grinnell.edu/",2,3,3,33,0,0,0,0,0,0,0,0,0,NA,0.1268,1486,1450,31,34,32,1420,1550,1705,31650223,6739,6235,6220,16891,36265,62830,0.7427,NA,1.15852913905787,9,1,15878,NA,53225,64862,64862
"Iowa State University","ISU","Ames","IA","https://www.iastate.edu/",1,3,4,13,0,0,0,0,0,0,0,0,0,NA,0.8913,1199,1210,21,28,25,1110,1350,25033,31650223,NA,NA,NA,NA,NA,63386,0.5446,0,0.847404244895102,18,1,9726,9726,52206,10497,27683
"University of Iowa","Iowa","Iowa City","IA","https://uiowa.edu/",1,3,4,13,0,0,0,0,0,0,0,0,0,NA,0.8467,1220,1240,22,28,26,1130,1320,21691,31650223,NA,NA,NA,NA,NA,64762,0.5717,0,0.822693557072628,15,1,12616,12616,49898,10964,32927
"Loras College",NA,"Dubuque","IA","www.loras.edu/",2,3,4,13,0,0,0,0,0,0,0,0,0,30,0.9183,NA,NA,NA,NA,NA,NA,NA,1087,31650223,18571,14851,16930,22489,23295,58289,0.4896,1387,0.816803576999064,12,1,9668,8281,43546,38298,38298
"Luther College","Luther Norse","Decorah","IA","https://www.luther.edu/",2,3,3,33,0,0,0,0,0,0,0,0,0,39,0.7327,1238,1200,22,29,26,1100,1320,1454,31650223,16937,17977,22180,25995,31047,59850,0.6337,0,0.900847624679677,10,1,11180,11180,47472,50320,50320
"Maharishi International University",NA,"Fairfield","IA","https://www.miu.edu/",2,3,4,33,0,0,0,0,0,0,0,0,0,NA,0.969,NA,NA,NA,NA,NA,NA,NA,774,31650223,17578,14774,22627,NA,24730,27981,0.1765,-600,NA,13,1,7400,8000,NA,16530,16530
"Mercy College of Health Sciences",NA,"Des Moines","IA","https://www.mchs.edu/",2,3,3,12,0,0,0,0,0,0,0,0,0,30,0.9878,NA,NA,NA,NA,20,NA,NA,905,31650223,21177,19440,24028,24859,28966,62234,0.4545,NA,1.01008270517245,7,1,NA,9450,57362,17328,17328
"Morningside University",NA,"Sioux City","IA","https://www.morningside.edu/",2,3,4,13,0,0,0,0,0,0,0,0,0,71,0.7057,910,NA,12,22,NA,NA,NA,1166,31650223,20667,21418,22086,24653,25258,55494,0.4205,-1134,0.842206291377757,12,1,11204,12338,47215,38190,38190
"Mount Mercy University","Mount Mercy College","Cedar Rapids","IA","www.mtmercy.edu/",2,3,4,12,0,0,0,0,0,0,0,0,0,30,0.7876,1120,NA,19,25,NA,NA,NA,1135,31650223,17255,25779,21217,25021,25996,60787,0.5168,1030,0.84829678425934,13,1,11030,10000,53650,39070,39070
"University of Northern Iowa","UNI Panthers Northern Iowa","Cedar Falls","IA","https://www.uni.edu/",1,3,4,13,0,0,0,0,0,0,0,0,0,NA,0.944,1120,1090,20,26,23,860,1210,7599,31650223,NA,NA,NA,NA,NA,55177,0.4518,0,0.910451094238499,17,1,9648,9648,45888,9728,21272
"Northwestern College",NA,"Orange City","IA","https://www.nwciowa.edu/",2,3,4,32,0,0,0,0,0,0,0,0,0,49,0.8701,NA,1080,NA,NA,24,NA,NA,1125,31650223,21342,22811,20674,21234,26036,49802,0.5714,0,0.942107118419143,14,1,10700,10700,44618,35300,35300
"Palmer College of Chiropractic",NA,"Davenport","IA","www.palmer.edu/",2,3,4,12,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,31650223,NA,NA,NA,NA,NA,59483,NA,NA,NA,10,1,NA,NA,NA,NA,NA
"Saint Ambrose University","St. Ambrose University   St Ambrose University","Davenport","IA","www.sau.edu/",2,3,4,12,0,0,0,0,0,0,0,0,0,30,0.7332,NA,1110,NA,NA,24,NA,NA,2101,31650223,20300,17945,20111,24236,25806,59531,0.5416,756,0.866038523682443,11,1,12348,11592,49556,35598,35598
"Simpson College",NA,"Indianola","IA","simpson.edu/",2,3,4,31,0,0,0,0,0,0,0,0,0,71,0.8888,1410,1080,31,33,24,NA,NA,1130,31650223,15172,17775,19007,24744,26854,59274,0.5253,1162,0.873251955439678,11,1,10088,8926,49940,46212,46212
"Upper Iowa University","UIU","Fayette","IA","https://www.uiu.edu/",2,3,4,43,0,0,0,0,0,0,0,0,0,NA,0.9338,929,960,14,21,21,970,1160,2021,31650223,27503,19324,19842,21127,25690,52766,0.2944,0,0.70582939455323,22,1,9770,9770,55583,19000,19000
"Wartburg College",NA,"Waverly","IA","https://www.wartburg.edu/",2,3,4,32,0,0,0,0,0,0,0,0,0,39,0.9941,1136,1090,19,27,23,980,1230,1446,31650223,16146,16390,19521,22654,26429,56201,0.5412,0,0.784875127903892,13,1,11062,11062,44954,51040,51040
"William Penn University",NA,"Oskaloosa","IA","https://www.wmpenn.edu/",2,3,4,33,0,0,0,0,0,0,0,0,0,65,0.5701,996,940,16,22,19,830,1100,1391,31650223,19613,19318,21898,22454,24384,48936,0.2166,264,0.775319225331568,13,1,7712,7448,42720,28750,28750
"Baker University","Baker|BU|Baker U","Baldwin City","KS","https://www.bakeru.edu/",2,3,4,42,0,0,0,0,0,0,0,0,0,71,0.921,950,1050,13,21,21,NA,NA,1080,31650223,18256,15729,20669,24365,27999,63855,0.4727,1000,0.72509049342732,12,1,10720,9720,54605,33900,33900
"Benedictine College",NA,"Atchison","KS","www.benedictine.edu/",2,3,4,32,0,0,0,0,0,0,0,0,0,30,0.7645,1244,1220,22,29,26,1120,1310,2236,31650223,22718,21531,23404,26224,30253,53175,0.5662,1820,0.898332436793975,15,1,11820,10000,45219,34800,34800
"Bethany College",NA,"Lindsborg","KS","https://www.bethanylb.edu/",2,3,3,43,0,0,0,0,0,0,0,0,0,39,0.786,NA,920,NA,NA,20,NA,NA,583,31650223,28825,25052,27685,30367,32651,49694,0.2401,6676,0.851916045396268,12,1,13338,6662,41970,31946,31946
"Bethel College-North Newton",NA,"North Newton","KS","www.bethelks.edu/",2,3,3,32,0,0,0,0,0,0,0,0,0,99,0.957,NA,1080,NA,NA,22,NA,NA,499,31650223,25905,22911,21747,22800,24435,49898,0.2764,-2994,0.87605854197349,11,1,10330,13324,40870,34002,34002
