"name","alias","city","state","url","control","deg_predomnt","deg_highest","locale_type","is_hbcu","is_pbi","is_annhi","is_tribal","is_aanapii","is_hsi","is_nanti","is_only_men","is_only_women","religious_affil","adm_rate","sat_avg","sat_mid50","act_p25","act_p75","act_mid50","sat_p25","sat_p75","ug_enrollment","net_price","cost_avg_income_0_30k","cost_avg_income_30_48k","cost_avg_income_48_75k","cost_avg_income_75_110k","cost_avg_income_110k_plus","earnings_med_10y","rate_completion","rm_board_dif","ratio","student_fac_ratio","no_aid","ROOMBOARD_ON","ROOMBOARD_OFF","MD_EARN_WNE_INC2_P6","TUITIONFEE_IN","TUITIONFEE_OUT"
"Selma University",NA,"Selma","AL","https://selmau.edu/",2,3,4,32,1,0,0,0,0,0,0,0,0,54,NA,NA,NA,NA,NA,NA,NA,NA,34,31650223,NA,NA,NA,NA,NA,NA,0.0444,-2400,NA,3,5,3600,6000,NA,4800,4800
"University of South Alabama",NA,"Mobile","AL","www.southalabama.edu/",1,3,4,12,0,0,0,0,0,0,0,0,0,NA,0.6549,1119,1100,19,26,23,1020,1200,8540,31650223,NA,NA,NA,NA,NA,49379,0.3324,-2232,0.80485823033828,18,1,8830,11062,42844,9676,18652
"Spring Hill College","Springhill|Springhill College|SHC|the Hill","Mobile","AL","https://www.shc.edu/",2,3,4,12,0,0,0,0,0,0,0,0,0,30,0.591,1090,1010,19,24,19,NA,NA,850,31650223,11239,13282,16103,9655,20316,51500,0.4745,-4906,0.775499439572757,10,1,12212,17118,39960,23270,23270
"Stillman College",NA,"Tuscaloosa","AL","https://stillman.edu/",2,3,3,12,1,0,0,0,0,0,0,0,0,66,0.7422,NA,NA,NA,NA,NA,NA,NA,761,31650223,11789,12252,11214,13001,17500,35421,0.3162,-1230,0.765673203315717,12,1,9582,10812,32918,11392,11392
"Talladega College",NA,"Talladega","AL","www.talladega.edu/",2,3,4,32,1,0,0,0,0,0,0,0,0,76,0.9925,NA,NA,NA,NA,NA,NA,NA,782,31650223,13423,11620,13910,20485,19595,32229,0.586,3504,0.658735946520814,19,1,6704,3200,26282,15650,15650
"Troy University","TROY","Troy","AL","www.troy.edu/",1,3,4,33,0,0,0,0,0,0,0,0,0,NA,0.9261,1086,1040,18,25,21,950,1160,10089,31650223,NA,NA,NA,NA,NA,42062,0.2816,-2864,0.75225264252296,15,1,7996,10860,45727,9792,19584
"Tuskegee University",NA,"Tuskegee","AL","www.tuskegee.edu/",2,3,4,32,1,0,0,0,0,0,0,0,0,NA,0.3143,1121,1020,18,26,22,1000,1250,2367,31650223,31858,33168,34010,34215,NA,49641,0.3115,-211,0.775243453797879,12,1,9844,10055,39469,23440,23440
"United States Sports Academy","The Academy, America's Sports University","Daphne","AL","www.ussa.edu/",2,3,4,13,0,0,0,0,0,0,0,0,0,NA,0.3529,NA,NA,NA,NA,NA,NA,NA,136,31650223,NA,NA,NA,NA,NA,55257,NA,NA,NA,14,1,NA,17160,NA,18900,18900
"University of Alaska Anchorage","UAA","Anchorage","AK","www.uaa.alaska.edu/",1,3,4,11,0,0,0,0,0,0,0,0,0,NA,0.6652,NA,NA,NA,NA,NA,NA,NA,6916,31650223,NA,NA,NA,NA,NA,51871,0.1522,-3236,0.844914823571002,12,1,12412,15648,46996,7566,21693
"Alaska Bible College",NA,"Palmer","AK","www.akbible.edu/",2,3,3,23,0,0,0,0,0,0,0,0,0,88,NA,NA,NA,NA,NA,NA,NA,NA,34,31650223,NA,NA,8175,20012,NA,NA,1,-5320,NA,5,1,7000,12320,NA,10930,10930
"University of Alaska Fairbanks","UAF","Fairbanks","AK","www.uaf.edu/",1,3,4,13,0,0,1,0,0,0,1,0,0,NA,NA,NA,1240,NA,NA,22,NA,NA,4027,31650223,NA,NA,NA,NA,NA,48866,0.2067,-2300,0.740911163619782,12,1,10450,12750,43136,8640,22752
"Alaska Pacific University",NA,"Anchorage","AK","www.alaskapacific.edu/",2,3,4,11,0,0,1,0,0,0,1,0,0,71,0.8621,NA,NA,NA,NA,NA,NA,NA,400,31650223,18371,15564,18313,23460,NA,54271,0.1875,-9268,NA,8,1,8932,18200,NA,20760,20760
"Arizona State University Campus Immersion","ASU Tempe","Tempe","AZ","www.asu.edu/",1,3,4,12,0,0,0,0,0,1,0,0,0,NA,0.9019,NA,NA,NA,NA,NA,NA,NA,64398,31650223,NA,NA,NA,NA,NA,62668,0.5479,2159,0.89464724118775,18,1,16091,13932,54426,12051,32193
"University of Arizona","The University of Arizona | UArizona | U of A | UofA | UA | University of AZ | Univ. of AZ | The Univ. of AZ","Tucson","AZ","https://www.arizona.edu/",1,3,4,11,0,0,0,0,0,1,0,0,0,NA,0.8566,1261,1240,21,30,25,1160,1420,40769,31650223,NA,NA,NA,NA,NA,59979,0.5091,2400,0.82070683597018,19,1,14400,12000,47370,13626,41095
"Northern Arizona University","NAU","Flagstaff","AZ","https://nau.edu/",1,3,4,13,0,0,0,0,0,1,0,0,0,NA,0.9095,NA,NA,NA,NA,NA,NA,NA,23041,31650223,NA,NA,NA,NA,NA,54384,0.4538,-5520,0.920812764998669,19,1,11728,17248,48914,12652,28900
"Prescott College","Prescot College | Prescott University | Prescott University | Prescott | PC | Prescott Center for Alternative Education","Prescott","AZ","https://prescott.edu/",2,3,4,13,0,0,0,0,0,0,0,0,0,NA,0.9857,NA,NA,NA,NA,NA,NA,NA,253,31650223,16573,20716,31266,23353,23921,42359,0.2969,940,NA,9,1,7790,6850,NA,35685,35685
